"Model Class","Model Attribute","Model Type","Model Multiplicity","Model Definition","NIEM XPath","NIEM Type","NIEM Property, ^Reference, (Representation)","NIEM Base Type","NIEM Multiplicity","Old XPath","Old Multiplicity","NIEM Mapping Notes","Code List Code=Definition;"
"AddedParty","","","","Party added to the appeal that was not  a party in the original case.  For instance, the attorney in the original case may appeal sanctions against the attorney by the court.","appellate:CaseAugmentation/appellate:AppellateCaseAddedParty","appellate:AppellateCaseAddedPartyType","","structures:ObjectType","","j:AppellateCase/appellate:AppellateCaseAugmentation/appellate:AppellateCaseAddedParty","0,unbounded","",""
"AddedParty","partyAddedReasonText","string","","The reason a party is being added to the appeal.","appellate:CaseAugmentation/appellate:AppellateCaseAddedParty/appellate:AppellateCaseAddedPartyReasonText","appellate:AppellateCaseAddedPartyType","appellate:AppellateCasePartyAddedReasonText","nc:TextType","0,1","j:AppellateCase/appellate:AppellateCaseAugmentation/appellate:AppellateCaseAddedParty/appellate:AppellateCaseAddedPartyReasonText","0,1","",""
"AddedParty","partyID","id","","An identifier assigned to a party being added to the appeal.","appellate:CaseAugmentation/appellate:AppellateCaseAddedParty/appellate:AppellateCaseParty","appellate:AppellateCaseAddedPartyType","ecf:CaseParty","nc:EntityType","1,1","j:AppellateCase/appellate:AppellateCaseAugmentation/appellate:AppellateCaseAddedParty/appellate:AppellateCaseParty","0,unbounded","",""
"Address","","","","An address.","nc:Location/nc:LocationAddress","nc:LocationType","nc:LocationAddressAbstract, (nc:Address)","nc:AddressType","0,1","nc:Location/nc:LocationAddress/nc:AddressFullText","0,1","",""
"Alias","","","","A name, a type, and a reference to an alternate identity used by a person or organization","nc:Person/nc:PersonName","nc:PersonNameType","","structures:ObjectType","","nc:Case/ecf:Augmentation/ecf:Alias","","",""
"Alias","alternateName","string","","An alternative name by which this person or organization is known.","nc:Person/nc:PersonName/nc:PersonFullName","nc:PersonNameType","nc:PersonFullName","nc:PersonNameTextType","0,1","nc:Case/ecf:Augmentation/ecf:Alias/ecf:AliasAlternateName","1,1","",""
"Alias","alternateNameTypeCode","code","","A description of the type of the alternate name.  Allowable values set forth in Court Policy. Examples: doing business as, formerly known as, also known as.","nc:Person/nc:PersonName/j:PersonNameCategoryCode","nc:PersonNameType","nc:PersonNameCategoryAbstract, (j:PersonNameCategoryCode)","core_misc:PersonNameCategoryCodeType","0,1","nc:Case/ecf:Augmentation/ecf:Alias/ecf:AliasAlternateNameTypeCode","1,unbounded","",""
"Alias","organization (<directional aggregation>)","","0..1","The alternative name when it is an entity created by law to conduct some sort of business or activity. Examples include agencies, law firms, corporations, partnerships, and voluntary associations.","nc:Organization/j:OrganizationAugmentation/j:OrganizationAlternateName","j:OrganizationAugmentationType","j:OrganizationAlternateName","j:OrganizationAlternateNameType","0,1","nc:Case/ecf:Augmentation/ecf:Alias/nc:EntityReference","0,unbounded","",""
"Alias","person (<directional aggregation>)","","0..1","The alternative name when it is a person.","nc:Person/nc:PersonName/j:PersonFullName","nc:PersonType","nc:PersonName","nc:PersonNameType","0,1","nc:Case/ecf:Augmentation/ecf:Alias/nc:EntityReference","0,unbounded","",""
"Alias","nameExtension","extension","*","An extension point for an organization name.","nc:Organization/j:OrganizationAugmentation/j:OrganizationAlternateName/j:OrganizationAlternateNameCategoryCode","j:OrganizationAlternateNameType","j:OrganizationAlternateNameCategoryAbstract, (j:OrganizationAlternateNameCategoryCode)","core_misc:PersonNameCategoryCodeType","0,1","","","",""
"AllocateCourtDateMessage","","","","A request to allocate a court date on the schedule.","allocatedate:AllocateCourtDateMessage","allocatedate:AllocateCourtDateMessageType","","ecf:CaseFilingType","","","","",""
"AllocateCourtDateMessage","messageExtension","extension","*","An extension point for the enclosing message.","allocatedate:AllocateCourtDateMessage/allocatedate:AllocateCourtDateMessageAugmentationPoint","allocatedate:AllocateCourtDateMessageType","allocatedate:AllocateCourtDateMessageAugmentationPoint","abstract","0,unbounded","","","",""
"AllocateCourtDateMessage","eventType","string","1","A type of court event","allocatedate:AllocateCourtDateMessage/nc:Case/j:CaseAugmentation/j:CaseCourtEvent/ecf:CourtEventAugmentation/ecf:CourtEventTypeCode","ecf:CourtEventAugmentationType","ecf:CourtLocationCode","nc:TextType","0,1","","","",""
"AllocateCourtDateMessage","startTime","","1","The start date and time of a court event","allocatedate:AllocateCourtDateMessage/nc:Case/j:CaseAugmentation/j:CaseCourtEvent/j:CourtEventSchedule/j:ScheduleDayStartTime","nc:ScheduleDayType","nc:ScheduleDayStartTime","niem-xs:time","0,1","","","",""
"AllocateCourtDateMessage","endTime","","1","The end date and time of a court event","allocatedate:AllocateCourtDateMessage/nc:Case/j:CaseAugmentation/j:CaseCourtEvent/j:CourtEventSchedule/nc:ScheduleDayEndTime","nc:ScheduleDayType","nc:ScheduleDayEndTime","niem-xs:time","0,1","","","",""
"AllocateCourtDateMessage","eventLocation","string","1","A court location","allocatedate:AllocateCourtDateMessage/nc:Case/j:CaseAugmentation/j:CaseCourtEvent/ecf:CourtEventAugmentation/ecf:CourtLocationCode","ecf:CourtEventAugmentationType","ecf:CourtLocationCode","nc:TextType","0,1","","","Genericode code list CourtLocationCode.gc",""
"AllocateCourtDateMessage","calendarEvent","calendar","0..1","An event to add to a calendar","allocatedate:AllocateCourtDateMessage/xcal:icalendar/xcal:xcalendar/xcal:components/xcal:vevent","allocatedate:AllocateCourtDateMessageType","xcal:icalendar","xcal:IcalendarType","0,1","","","",""
"AllocateCourtDateMessage","case (<directional aggregation>)","","0..1","A court case	","allocatedate:AllocateCourtDateMessage/nc:Case","allocatedate:AllocateCourtDateMessageType","nc:Case","nc:CaseType","0,1","","","",""
"AllowanceCharge","","","","An authorization by the filer allowing the court to take money from the filer, for a particular purpose, and by a particular means.  Only for case-related activities.  This may only be included with the ReviewFiling message sent to the court - it must not be included with the ReviewFiling message served to other parties in the case.","payment:PaymentMessage/cac:AllowanceCharge","cac:AllowanceChargeType","","","","payment:PaymentMessage/cac:AllowanceCharge","0,unbounded","",""
"AllowanceCharge","paymentAmount","amount","","An amount of money that the filer is paying to the court.","payment:PaymentMessage/cac:AllowanceCharge/cbc:Amount","cac:AllowanceChargeType","cbc:Amount","cbc:AmountType","1,1","payment:PaymentMessage/cac:AllowanceCharge/cbc:Amount","1,1","",""
"AllowanceCharge","paymentMeans (<directional aggregation>)","","0..1","The payment method employed to complete the transaction.","payment:PaymentMessage/cac:AllowanceCharge/cac:PaymentMeans","cac:AllowanceChargeType","cac:PaymentMeans","cac:PaymenMeansType","0,unbounded","payment:PaymentMessage/cac:AllowanceCharge/cac:PaymentMeans","0,unbounded","",""
"AllowanceCharge","paymentPurposeCode","code","","Purpose or reason for the filer making the payment; this would be a code valid according to and described by Court Policy.","payment:PaymentMessage/cac:AllowanceCharge/cbc:AllowanceChargeReasonCode","cac:AllowanceChargeType","cbc:AllowanceChargeReason","cbc:AllowanceChargeReasonType","0,1","payment:PaymentMessage/cac:AllowanceCharge/cbc:AllowanceChargeReasonCode","0,1","",""
"AllowedCodeValue","","","","A value allowed for the parent identified element, and associated information.","policyresponse:GetPolicyResponseMessage/policyresponse:RuntimePolicy/policyresponse:CodeListExtension","","policyresponse:CodeListExtension","policyresponse:CodeListExtensionType","","policyresponse:CourtPolicyResponseMessage/policyresponse:RuntimePolicyParameters/policyresponse:CoreCodelist","1,unbounded","Reference nc:Metadata in policyresponse:CodeListExtension/@structures:metadata",""
"AllowedCodeValue","displayText","string","","A description to be used for display purposes.","","","","","","","","Genericode description column",""
"AllowedCodeValue","effectiveTime","","","The date and time on which this value became or will become allowed.","policyresponse:GetPolicyResponseMessage/nc:Metadata/nc:Metadata/nc:EffectiveDate","nc:MetadataType","nc:EffectiveDate","nc:DateType","0,1","policyresponse:CourtPolicyResponseMessage/policyresponse:RuntimePolicyParameters/policyresponse:CoreCodelist/policyresponse:EffectiveDate","1,1","Reference nc:Metadata with policyresponse:CodeListExtension/@structures:metadata",""
"AllowedCodeValue","expirationTime","","","The date and time on which the value was or will be terminated.","policyresponse:GetPolicyResponseMessage/nc:Metadata/nc:Metadata/nc:ExpirationDate","nc:MetadataType","nc:ExpirationDate","nc:DateType","0,1","policyresponse:CourtPolicyResponseMessage/policyresponse:RuntimePolicyParameters/policyresponse:CoreCodelist/policyresponse:ExpirationDate","0,1","",""
"AllowedCodeValue","value","string","","The value that is transmitted in the message.","","","","","","","","Genericode code column",""
"Amount","","","","A monetary amount","nc:Amount","","","","","nc:Amount","","",""
"Amount","amountValue","","1","A decimal amount.","nc:Amount","nc:AmountType","nc:Amount","niem-xs:decimal","1,1","nc:Amount","1,1","",""
"Amount","currency","string","0..1","A type of monetary currency.","nc:Amount/nc:CurrencyCode, nc:CurrencyText","nc:AmountType","nc:CurrencyAbstract, (nc:CurrencyCode), (nc:CurrencyText)","iso_4217:CurrencyCodeType","0,1","nc:Amount/nc:currencyCode, nc:Amount/nc:currencyText","0,1","",""
"AppellateCaseInformation","","","","Additional information specific to appellate cases.","appellate:CaseAugmentation","nc:CaseType","nc:CaseAugmentationPoint, (^appellate:CaseAugmentation)","appellate:CaseAugmentationType","1,unbounded","j:AppellateCase/appellate:AppellateCaseAugmentation","","",""
"AppellateCaseInformation","criminalAppellateCaseInformation (<directional aggregation>)","","0..1","Additional information specific to criminal appellate cases.","nc:Case/j:CaseAugmentation","nc:CaseType","nc:CaseAugmentationPoint, (^j:CaseAugmentation)","j:CaseAugmentationType","1,unbounded","j:AppellateCase/appellate:AppellateCaseAugmentation/appellate:AppellateCriminalCase","0,1","",""
"AppellateCaseInformation","addedParty (<directional aggregation>)","","*","Party added to the appeal that was not  a party in the original case.  For instance, the attorney in the original case may appeal sanctions against the attorney by the court.","appellate:CaseAugmentation/appellate:AppellateCaseAddedParty","appellate:CaseAugmentationType","appellate:AppellateCaseAddedParty","appellate:AppellateCaseAddedPartyType","0,unbounded","j:AppellateCase/appellate:AppellateCaseAugmentation//appellate:AddedParty","0,unbounded","",""
"AppellateCaseInformation","appellantInCustodyIndicator","bool","","Indicator that the appellant is currently in custody.","appellate:CaseAugmentation/appellate:AppellantInCustodyIndicator","appellate:CaseAugmentationType","appellate:AppellantInCustodyIndicator","niem-xs:boolean","0,1","j:AppellateCase/appellate:AppellateCaseAugmentation/appellate:AppellantInCustodyIndicator","0,1","",""
"AppellateCaseInformation","caseAppealIssueText","string","","The issue(s) on which the case in the lower court is being appealled.","appellate:CaseAugmentation/j:AppellateCase/j:AppellateCaseNotice/j:AppellateCaseNoticeReasonText","j:AppellateCaseNoticeType","j:AppellateCaseNoticeReasonText","nc:TextType","0,1","j:AppellateCase/j:AppellateCaseNotice/j:AppellateCaseNoticeReasonText","0,1","",""
"AppellateCaseInformation","caseDispositionDate","date","","If the case has been terminated in the lower court, the date on which the case was disposed or dismissed.  In a criminal decision, this is the date of Judgment and Sentence.  In a civil decision, this is typically the date of the final Judgment determining all issues as to all parties.","appellate:CaseAugmentation/j:AppellateCase/j:AppellateCaseOriginalCase/nc:CaseDisposition/nc:CaseDispositionFinalDate","nc:CaseDispositionType","nc:CaseDispositionFinalDate","nc:DateType","0,1","j:AppellateCase/j:AppellateCaseOriginalCase/appellate:CaseDisposition/nc:CaseDispositionFinalDate","0,1","",""
"AppellateCaseInformation","caseMannerOfDisposition","string","","If the charge has been disposed in lower court, the manner in which the charge was disposed.  e.g. dismissed by the court, dismissed by the state, withdrawn, decided, transferred,  guilty plea, guilty verdict, acquittal, finding of violation of probation, etc.  The court will define the available values in Court Policy.","appellate:CaseAugmentation/j:AppellateCase/j:AppellateCaseOriginalCase/nc:CaseDisposition/nc:DispositionCategoryText","nc:DispositionType","nc:DispositionCategoryAbstract, (nc:DispositionCategoryText)","nc:TextType","0,1","j:AppellateCase/j:AppellateCaseOriginalCase/appellate:CaseDisposition/nc:CaseDispositionDecision","0,unbounded","",""
"AppellateCaseInformation","caseSettlementRequestText","string","","A request for diversion to a settlement program in the appellate court.","appellate:CaseAugmentation/appellate:AppellateCaseSettlementRequestText","appellate:CaseAugmentationType","appellate:AppellateCaseSettlementRequestText","nc:TextType","0,1","j:AppellateCase/appellate:AppellateCaseAugmentation/appellate:AppellateCaseSettlementRequestText","0,1","",""
"AppellateCaseInformation","caseTrialType","string","","The type of trial in the lower court (e.g. bench, jury).","appellate:CaseAugmentation/j:AppellateCase/j:AppellateCaseOriginalCase/ecf:CaseAugmentationType/ec:CaseCategoryCode","ecf:CaseAugmentationType","ecf:CaseCategoryCode","nc:TextType","0,1","j:AppellateCase/j:CaseAugmentation/j:AppellateCaseOriginalCase/j:CaseCategoryText","0,1","",""
"AppellateCaseInformation","casejurisdictionBasisText","string","","The basis for the jurisdiction of the appellate court in the case.","appellate:CaseAugmentation/appellate:AppellateCaseJurisdictionBasisText","appellate:CaseAugmentationType","appellate:AppellateCaseJurisdictionBasisText","nc:TextType","0,1","j:AppellateCase/appellate:AppellateCaseAugmentation/appellate:AppellateCaseJurisdictionBasisText","0,1","",""
"AppellateCaseInformation","civilAppellateCaseInformation (<directional aggregation>)","","0..1","Additional information specific to civil appellate cases.","appellate:CaseAugmentation","appellate:CaseAugmentationType","","structures:ObjectType","","j:AppellateCase/appellate:AppellateCaseAugmentation/appellate:AppellateCivilCase","0,1","",""
"AppellateCaseInformation","courtRuleAppellateCaseInformation (<directional aggregation>)","","0..1","Additional information specific to court rule appellate cases.","appellate:CaseAugmentation/appellate:AppellateCourtRuleCase","appellate:CaseAugmentationType","appellate:AppellateCourtRuleCase","appellate:AppellateCourtRuleCaseType","0,1","j:AppellateCase/appellate:AppellateCaseAugmentation/appellate:AppellateCourtRuleCase","0,1","",""
"AppellateCaseInformation","noticeOfAppealDate","date","","The date on which the Notice of Appeal was filed. This filing usually, but not always, happens in the lower court.  This date is sometimes used to calculate the date that the case records and transcripts are due to the appellate court.","appellate:CaseAugmentation/j:AppellateCase/j:AppellateCaseNotice/nc:DocumentFiledDate","j:AppellateCaseType","^j:AppellateCaseNotice","j:AppellateCaseNoticeType","0,1","j:AppellateCase/j:AppellateCaseNotice/nc:DocumentFiledDate","0,1","",""
"AppellateCaseInformation","removeParty (<directional aggregation>)","","*","Party to the original case that is not party to the appeal.","appellate:CaseAugmentation/appellate:AppellateCaseRemovedParty","appellate:CaseAugmentationType","appellate:AppellateCaseRemovedParty","appellate:AppellateCaseRemovedPartyType","0,unbounded","j:AppellateCase/appellate:AppellateCaseAugmentation/appellate:AppellateCaseRemovedParty","0,unbounded","",""
"AppellateCaseInformation","originalCase","string","*","The originating case being appealed, usually a trial court case.","appellate:CaseAugmentation/j:AppellateCase/j:AppellateCaseOriginalCase","j:AppellateCaseType","^j:AppellateCaseOriginalCase","nc:CaseType","0,unbounded","j:AppellateCase/j:AppellateCaseOriginalCase","0.unbounded","",""
"AppellateCaseInformation","case","","1","An appellate case.","appellate:CaseAugmentation/j:AppellateCase","appellate:CaseAugmentationType","j:AppellateCase","j:AppellateCaseType","1,1","j:AppellateCase/appellate:AppellateCaseAugmentation","1,1","",""
"AppellateCaseInformation","caseDispositionDecision","string","","A disposition decision of a case","appellate:CaseAugmentation/j:AppellateCase/j:AppellateCaseOriginalCase/nc:CaseDisposition/nc:DispositionCategoryText","nc:DispositionType","nc:DispositionCategoryAbstract, (nc:DispositionCategoryText)","nc:TextType","0,1","","","",""
"AppellateCaseInformation","caseDispositoin","string","0..1","The disposition of a case	","appellate:CaseAugmentation/j:AppellateCase/j:AppellateCaseOriginalCase/nc:CaseDisposition","nc:ActivityType","nc:ActivityDisposition, (nc:CaseDisposition)","nc:CaseDispositionType","0,1","","","",""
"Arrest","","","","The act of taking physical control over the person of another by a law enforcement officer or other person acting under color of law.","criminal:CaseAugmentation/j:Arrest","j:ArrestType","","nc:ActivityType","","criminal:CriminalCase/criminal:CaseArrest","","",""
"Arrest","arrestLocation","address","","A location where a subject was arrested.","criminal:CaseAugmentation/j:Arrest/j:ArrestLocation","j:ArrestType","^j:ArrestLocation","nc:LocationType","0,1","criminal:CriminalCase/criminal:CaseArrest/j:ArrestLocation","0,1","",""
"Arrest","arrestTime","dateTime","","The date and time the subject was arrested.","criminal:CaseAugmentation/j:Arrest/nc:ActivityDate","nc:ActivityType","nc:ActivityDate","nc:DateType","0,1","criminal:CriminalCase/criminal:CaseArrest/nc:ActivityDate","0,1","",""
"Arrest","arresteeBloodAlcholContentNumber","float","","The percentage of alcohol the blood of an blood (e.g. .08%). A blank value represents not tested.","criminal:CaseAugmentation/j:Arrest/j:ArrestBloodAlcoholContentNumberText","j:PersonBloodAlcoholContentAssociationType","j:PersonBloodAlcoholContentNumberText","nc:TextType","0,1","criminal:CriminalCase/criminal:CaseArrest/j:ArrestBloodAlcoholContentNumberText","0,1","",""
"Arrest","arrestingAgencyCaseTrackingNumber","id","","An identifier assigned to a case by the law enforcement agency.","criminal:CaseAugmentation/j:Arrest/j:ArrestAgencyRecordIdentification/","j:ArrestType","j:ArrestAgencyRecordIdentification","nc:IdentificationType","0,1","criminal:CriminalCase/criminal:CaseArrest/j:ArrestAgencyRecordIdentification","0,1","",""
"Arrest","arrestingAgencyID","id","","An alphanumeric identifier issued by the FBI to identify a specific criminal justice agency, in this instance the law enforcement agency which made the arrest. (Ex.  AZ0071300, etc.)","criminal:CaseAugmentation/j:Arrest/j:ArrestAgency/j:OrganizationAugmentation/j:OrganizationORIIdentification","nc:OrganizationType","nc:OrganizationIdentification, (j:OrganizationORIIdentification)","nc:IdentificationType","0,1","criminal:CriminalCase/criminal:CaseArrest/ArrestAgency/j:OrganizationAugmentation/j:OrganizationAlternateName/k:OrganizationAlternateNameCategory","0,unbounded","",""
"Arrest","arrestingAgencyName","string","","The name of the Law Enforcement agency which made the arrest.","criminal:CaseAugmentation/j:Arrest/j:ArrestAgency/nc:OrganizationName","nc:OrganizationType","nc:OrganizationName","nc:TextType","0,1","criminal:CriminalCase/criminal:CaseArrest/j:ArrestAgency/nc:OrganizationName","0,1","",""
"Arrest","arrestingOfficer (<directional aggregation>)","","0..1","An employee of a law enforcement agency who effects an arrest.","criminal:CaseAugmentation/j:Arrest/j:ArrestOfficial","j:ArrestType","j:ArrestOfficial","j:EnforcementOfficialType","0,1","criminal:CriminalCase/criminal:CaseArrest/j:ArrestOfficial","0,unbounded","",""
"Arrest","booking (<directional aggregation>)","","","The process by which this arrest is formally recorded by a law enforcement agency at the time the subject is booked or released on bond or personal recognizance.","criminal:CaseAugmentation/j:Arrest/j:Booking","j:ArrestType","j:Booking","j:BookingType","0,1","criminal:CriminalCase/criminal:CaseArrest/j:Booking","0,1","",""
"Arrest","charge (<directional aggregation>)","","1..*","The crime or violation for which a defendant is arrested.","criminal:CaseAugmentation/j:Arrest/j:ArrestCharge","j:ArrestType","^j:ArrestCharge","j:ChargeType","0,unbounded","criminal:CriminalCase/criminal:CaseArrest/j:ArrestCharge","0,unbounded","",""
"Arrest","defendant (<directional aggregation>)","",""," A person arrested.","criminal:CaseAugmentation/j:Arrest/j:ArrestSubject","j:ArrestType","j:ArrestSubject","j:SubjectType","0,1","criminal:CriminalCase/criminal:CaseArrest/j:ArrestSubject","0,1","",""
"Arrest","defendantExtraditionStatus","string","","A code identifying the type of limitation placed on the extradition of a subject from an area outside the immediate jurisdiction of the issuing court.","criminal:CaseAugmentation/j:Arrest/j:ArrestWarrant/j:WarrantExtraditionLimitationCode","j:WarrantType","j:WarrantExtraditionLimitationAbstract, (j:WarrantExtraditionLimitationCode)","ncic:EXLCodeType","1,1","criminal:CriminalCase/criminal:CaseArrest/j:ArrestWarrant/j:WarrantExtraditionLimitationCode","1,1","",""
"Arrest","incidentNumber","id","","Unique identifier for a police agency departmental report.  ","criminal:CaseAugmentation/j:Arrest/j:ArrestAgencyRecordIdentification","j:ArrestType","j:ArrestAgencyRecordIdentification","nc:IdentificationType","0,1","criminal:CriminalCase/criminal:CaseArrest/j:ArrestAgencyRecordIdentification","0,1","",""
"Arrest","juvenile (<directional aggregation>)","",""," A juvenile arrested.","juvenile:CaseAugmentation/hs:JuvenileCase/hs:Juvenile","juvenile:CaseAugmentationType","hs:JuvenileCase","hs:JuvenileCaseType","1,1","juvenile:JuvenileCaseJuvenile","1,1","",""
"Arrest","arrestingAgency","string","1","The law enforcement agency that performed an arrest.","criminal:CaseAugmentation/j:Arrest/j:ArrestAgency","j:ArrestType","^j:ArrestAgency","nc:OrganizationType","0,1","criminal:CriminalCase/criminal:CaseArrest/j:ArrestAgency","0,1","",""
"Arrest","arrestingUnit","string","0..1","The unit of a law enforcement agency performing an arrest.","criminal:CaseAugmentation/j:Arrest/j:ArrestOfficial/j:EnforcementOfficialUnit","j:EnforcementOfficialType","j:EnforcementOfficialUnit","j:EnforcementUnitType","0,1","criminal:CriminalCase/criminal:CaseArrest/j:ArrestOfficialUnit","0,1","",""
"Arrest","arrestWarrant","","*","An arrest warrant associated with an arrest.","criminal:CaseAugmentation/j:Arrest/j:ArrestWarrant","j:ArrestType","j:ArrestWarrant","j:WarrantType","0,1","criminal:CriminalCase/criminal:CaseArrest/j:ArrestWarrant","0,1","",""
"Arrest","arrestDisposition","string","*","The disposition of an arrest.","criminal:CaseAugmentation/j:Arrest/nc:ActivityDisposition","nc:ActivityType","nc:ActivityDisposition","nc:DispositionType","0,1","criminal:CriminalCase/criminal:CaseArrest","0,unbounded","",""
"ArrestingOfficer","","","","An employee of a law enforcement agency who effects an arrest.","criminal:CaseAugmentation/j:Arrest/j:ArrestOfficial","j:EnforcementOfficialType","","structures:ObjectType","","criminal:CriminalCase/criminal:CaseArrest/j:ArrestOfficial","0,unbounded","",""
"ArrestingOfficer","arrestingAgencyORI","id","","Official FBI-issued identifier for a law enforcement agency.","criminal:CaseAugmentation/j:Arrest/j:ArrestOfficial/j:EnforcementOfficialUnit/nc:Organization/j:OrganizationAugmentation/j:OrganizationORIIdentification","nc:OrganizationType","nc:OrganizationIdentification, (j:OrganizationORIIdentification)","nc:IdentificationType","0,1","criminal:CriminalCase/criminal:CaseArrest/j:ArrestOfficial/j:EnforcementOfficialUnit/nc:OrganizationIdentification","0,1","",""
"ArrestingOfficer","arrestingOfficerUnit","string","","Text description of the subdivision of the arresting agency. Example: Fairlawn precinct, Special Operations Division, Drug Task Force.","criminal:CaseAugmentation/j:Arrest/j:ArrestOfficial/j:EnforcementOfficialUnit/j:EnforcementUnitName","j:EnforcementUnitType","j:EnforcementUnitName","nc:TextType","0,1","criminal:CriminalCase/criminal:CaseArrest/j:ArrestOfficial/j:EnforcementOfficialUnit/j:EnforcementUnitName","0,1","",""
"ArrestingOfficer","badgeNumber","id","","Number of an official badge issued by a law enforcement agency to a law enforcement officer.","criminal:CaseAugmentation/j:Arrest/j:ArrestOfficial/j:EnforcementOfficialBadgeIdentification","j:EnforcementOfficialType","j:EnforcementOfficialBadgeIdentification","nc:IdentificationType","0,1","criminal:CriminalCase/criminal:CaseArrest/j:ArrestOfficial/j:EnforcementOfficialBadgeIdentification","0,1","",""
"ArrestingOfficer","personID","id","","The unique identifier assigned by the court at the time a person is first associated with a case. If the court has not yet assigned an identifier in this case, then the filing assembly MDE will leave this element blank.  This identifier is used to link other information in the case to a particular person.","criminal:CaseAugmentation/j:Arrest/j:ArrestOfficial/nc:PersonOtherIdentification","nc:PersonType","nc:PersonOtherIdentification","nc:IdentificationType","0,unbounded","criminal:CriminalCase/criminal:CaseArrest/j:ArrestOfficial/nc:RoleOfPersonReference","0,1","",""
